seed,min_ess,min_ess_param,max_rhat,max_rhat_param
1,65.1059,planes/0/mass/0/Rs,1.08833,planes/0/mass/0/Rs
2,16.9847,planes/0/mass/0/Rs,1.40622,planes/0/mass/0/Rs
3,19.3846,planes/0/mass/0/Rs,1.33682,planes/0/mass/0/Rs
